City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
0,ilulissat,69.2167,-51.1,5.01,87.0,75.0,GL,1686412342.0,4.12
1,grytviken,-54.2811,-36.5092,1.9,99.0,100.0,GS,1686412342.0,4.61
2,tazovsky,67.4667,78.7,9.2,48.0,68.0,RU,1686412342.0,3.13
3,thompson,55.7435,-97.8558,18.09,42.0,40.0,CA,1686412343.0,3.6
4,tolanaro,-25.0319,46.9987,23.04,88.0,20.0,MG,1686412116.0,2.06
5,puerto natales,-51.7236,-72.4875,4.25,60.0,40.0,CL,1686412343.0,7.2
6,dudinka,69.4058,86.1778,5.9,48.0,4.0,RU,1686412343.0,2.56
7,san miguel,13.4833,-88.1833,28.78,79.0,0.0,SV,1686412343.0,1.54
8,nadi,-17.8,177.4167,22.0,73.0,20.0,FJ,1686412135.0,3.09
9,hawaiian paradise park,19.5933,-154.9731,20.73,85.0,40.0,US,1686412344.0,2.57
10,aasiaat,68.7098,-52.8699,3.62,83.0,100.0,GL,1686412344.0,13.26
11,ust-nera,64.5667,143.2,10.93,86.0,54.0,RU,1686412344.0,2.1
12,port-aux-francais,-49.35,70.2167,4.17,59.0,78.0,TF,1686412344.0,11.26
13,tarawa,1.419,172.984,29.05,79.0,40.0,KI,1686412344.0,2.06
14,sao joao da barra,-21.6403,-41.0511,28.05,55.0,0.0,BR,1686412344.0,3.21
16,sao felix do xingu,-6.6447,-51.995,33.28,42.0,37.0,BR,1686412345.0,6.59
17,kirsanov,52.6549,42.7224,15.6,80.0,92.0,RU,1686412345.0,2.56
18,blackmans bay,-43.0167,147.3167,10.85,79.0,68.0,AU,1686412345.0,0.55
19,bilibino,68.0546,166.4372,14.05,48.0,17.0,RU,1686412345.0,8.4
20,edinburgh of the seven seas,-37.0676,-12.3116,14.25,73.0,58.0,SH,1686412345.0,6.17
21,brookings,44.3114,-96.7984,25.03,74.0,75.0,US,1686412345.0,3.6
22,dryden,49.7833,-92.7503,13.16,58.0,20.0,CA,1686412346.0,0.8
23,jincheng,35.5022,112.8328,22.51,29.0,1.0,CN,1686412346.0,9.77
24,iqaluit,63.7506,-68.5145,2.85,86.0,100.0,CA,1686412346.0,1.05
25,nemuro,43.3236,145.575,9.57,96.0,99.0,JP,1686412346.0,7.37
26,utrik,11.2278,169.8474,27.59,84.0,100.0,MH,1686412346.0,6.48
27,adamstown,-25.066,-130.1015,20.57,56.0,75.0,PN,1686412346.0,0.86
28,bredasdorp,-34.5322,20.0403,14.12,72.0,48.0,ZA,1686412346.0,7.52
30,cadale,2.7603,46.3222,26.61,81.0,29.0,SO,1686412347.0,4.63
31,hithadhoo,-0.6,73.0833,28.98,72.0,46.0,MV,1686412347.0,3.28
32,yellowknife,62.456,-114.3525,13.29,71.0,75.0,CA,1686412347.0,5.14
33,upington,-28.4478,21.2561,15.15,29.0,0.0,ZA,1686412347.0,0.45
34,antsiranana,-12.2787,49.2917,26.42,69.0,20.0,MG,1686412347.0,2.47
35,waitangi,-43.9535,-176.5597,11.01,90.0,27.0,NZ,1686412347.0,1.54
36,invercargill,-46.4,168.35,4.85,86.0,84.0,NZ,1686412348.0,5.58
37,sitka,57.0531,-135.33,9.94,87.0,100.0,US,1686412348.0,2.63
38,lebu,-37.6167,-73.65,10.64,63.0,55.0,CL,1686412348.0,6.17
39,papatowai,-46.5619,169.4708,6.15,60.0,61.0,NZ,1686412348.0,2.16
40,ribeira grande,38.5167,-28.7,21.22,56.0,20.0,PT,1686412080.0,0.89
41,pinas,-3.6667,-79.65,22.62,67.0,23.0,EC,1686412348.0,8.79
42,palu,-0.8917,119.8707,24.85,96.0,60.0,ID,1686412349.0,4.44
43,kaspiyskiy,45.3929,47.3707,24.3,60.0,92.0,RU,1686412349.0,1.49
44,zaozersk,69.4005,32.4476,7.91,61.0,100.0,RU,1686412349.0,1.1
45,mutare,-18.9707,32.6709,20.16,29.0,70.0,ZW,1686412349.0,5.14
46,kangar,6.4414,100.1986,27.25,99.0,100.0,MY,1686412328.0,4.86
47,stanley,54.868,-1.6985,23.19,67.0,0.0,GB,1686412349.0,4.25
48,port shepstone,-30.7414,30.455,17.68,64.0,0.0,ZA,1686412349.0,3.25
49,rasony,55.9089,28.8126,17.31,33.0,7.0,BY,1686412350.0,2.87
50,mtinko,-4.55,34.85,21.15,48.0,84.0,TZ,1686412355.0,4.86
51,talnakh,69.4865,88.3972,5.67,60.0,3.0,RU,1686412355.0,3.13
52,lihue,21.9789,-159.3672,21.92,91.0,100.0,US,1686412355.0,5.71
53,new norfolk,-42.7826,147.0587,11.51,83.0,68.0,AU,1686412355.0,3.45
54,san antonio de pale,-1.4014,5.6325,25.02,83.0,100.0,GQ,1686412355.0,0.79
55,tapiramuta,-11.8472,-40.7914,26.53,43.0,56.0,BR,1686412355.0,1.54
56,khovd,48.0056,91.6419,23.8,26.0,26.0,MN,1686412355.0,2.49
57,badger,64.8,-147.5333,13.89,73.0,0.0,US,1686412356.0,2.23
58,tashtagol,52.7657,87.8894,16.58,99.0,99.0,RU,1686412356.0,5.02
59,breves,-1.6822,-50.4803,30.96,60.0,22.0,BR,1686412356.0,2.48
60,itamaraca,-7.7478,-34.8256,28.03,63.0,9.0,BR,1686412356.0,0.89
61,gamawa,12.1343,10.5396,36.7,29.0,80.0,NG,1686412356.0,3.09
62,grand baie,-20.0182,57.5802,24.26,72.0,3.0,MU,1686412356.0,3.02
63,st. john's,47.5649,-52.7093,10.71,97.0,100.0,CA,1686412160.0,1.54
64,albany,42.6001,-73.9662,20.53,63.0,23.0,US,1686412356.0,5.22
65,avarua,-21.2078,-159.775,22.03,100.0,40.0,CK,1686412356.0,1.8
66,porto novo,6.4965,2.6036,26.9,90.0,92.0,BJ,1686412357.0,3.38
67,tongliao,43.6125,122.2653,14.33,71.0,52.0,CN,1686412357.0,4.06
69,pudasjarvi,65.3833,26.9167,14.81,33.0,43.0,FI,1686412357.0,0.38
70,maragogi,-9.0122,-35.2225,26.83,70.0,67.0,BR,1686412357.0,3.6
71,puerto ayora,-0.7393,-90.3518,29.98,93.0,100.0,EC,1686412357.0,3.5
72,dzhubga,44.3211,38.7039,20.97,85.0,50.0,RU,1686412357.0,8.12
73,trujillo,-8.116,-79.03,22.98,78.0,100.0,PE,1686412358.0,11.99
75,masvingo,-20.0637,30.8277,20.35,29.0,8.0,ZW,1686412358.0,3.09
76,taroa,8.7058,171.2275,27.95,81.0,100.0,MH,1686412358.0,7.15
77,eyl,7.9803,49.8164,27.25,77.0,19.0,SO,1686412358.0,5.14
78,ushuaia,-54.8,-68.3,4.81,75.0,40.0,AR,1686412358.0,4.48
79,nantucket,41.2835,-70.0995,20.03,72.0,40.0,US,1686412276.0,9.03
80,punta del este,-34.9667,-54.95,13.06,66.0,100.0,UY,1686412358.0,3.36
81,namsos,64.4662,11.4957,20.95,43.0,12.0,NO,1686412120.0,3.6
82,ghat,24.9647,10.1728,41.98,9.0,9.0,LY,1686412359.0,0.45
83,nar'yan-mar,67.6713,53.087,5.11,64.0,100.0,RU,1686412359.0,1.42
84,itaueira,-7.6033,-43.0256,34.78,30.0,1.0,BR,1686412359.0,4.63
85,kodiak,57.79,-152.4072,6.73,93.0,100.0,US,1686412359.0,3.09
86,port elizabeth,-33.918,25.5701,15.61,85.0,1.0,ZA,1686412359.0,3.76
87,spring creek,40.7266,-115.5859,14.11,47.0,23.0,US,1686412359.0,2.57
88,loanda,-8.8368,13.2343,27.0,65.0,20.0,AO,1686412359.0,1.54
89,hamilton,39.1834,-84.5333,27.67,39.0,20.0,US,1686412359.0,1.96
90,sao raimundo das mangabeiras,-7.0219,-45.4811,34.09,34.0,2.0,BR,1686412096.0,1.76
91,isafjordur,66.0755,-23.124,8.02,53.0,75.0,IS,1686412360.0,2.06
94,college,64.8569,-147.8028,13.94,73.0,40.0,US,1686412360.0,1.54
95,jumla,29.2747,82.1838,14.57,79.0,76.0,NP,1686412360.0,6.31
96,susuman,62.7833,148.1667,10.98,78.0,57.0,RU,1686412360.0,3.31
97,bikenibeu village,1.3673,173.1241,28.98,79.0,40.0,KI,1686412360.0,4.73
98,tsiombe,-25.3,45.4833,19.76,87.0,0.0,MG,1686412361.0,1.54
99,montpelier,44.2601,-72.5754,18.08,75.0,100.0,US,1686412361.0,8.11
100,juneau,58.3019,-134.4197,11.23,95.0,75.0,US,1686412086.0,1.24
101,crane,31.3974,-102.3501,31.37,22.0,82.0,US,1686412366.0,1.6
102,bafq,31.6128,55.4107,32.92,22.0,5.0,IR,1686412366.0,4.12
103,dalbandin,28.8947,64.4101,34.78,14.0,11.0,PK,1686412366.0,2.0
104,coquimbo,-29.9533,-71.3436,13.85,100.0,100.0,CL,1686412288.0,3.43
105,margaret river,-33.95,115.0667,13.93,68.0,88.0,AU,1686412366.0,2.01
106,iaciara,-14.0958,-46.6317,33.77,27.0,19.0,BR,1686412367.0,2.88
107,puerto aysen,-45.4,-72.7,4.95,90.0,90.0,CL,1686412367.0,1.84
109,bethel,41.3712,-73.414,22.86,60.0,0.0,US,1686412367.0,4.2
110,gantiadi,43.3811,40.0794,23.09,83.0,100.0,GE,1686412367.0,4.22
111,leh,34.1667,77.5833,11.99,40.0,47.0,IN,1686412367.0,1.43
112,mu'minobod,38.1085,70.0285,28.35,30.0,1.0,TJ,1686412367.0,8.54
113,nacala,-14.5428,40.6728,23.52,80.0,1.0,MZ,1686412367.0,1.85
114,tura,25.5198,90.2201,24.18,94.0,100.0,IN,1686412368.0,7.37
115,wailua homesteads,22.0669,-159.378,21.59,93.0,100.0,US,1686412368.0,1.97
116,carnarvon,-24.8667,113.6333,19.7,69.0,0.0,AU,1686412368.0,4.47
117,tiksi,71.6872,128.8694,3.27,73.0,20.0,RU,1686412368.0,4.5
118,singaraja,-8.112,115.0882,26.05,83.0,42.0,ID,1686412368.0,3.14
119,west island,-12.1568,96.8225,25.99,83.0,40.0,CC,1686412368.0,6.8
120,kupino,54.3663,77.2981,17.37,52.0,68.0,RU,1686412368.0,1.56
121,papao,-17.75,-149.55,21.82,67.0,82.0,PF,1686412368.0,4.35
122,altai,46.3722,96.2583,16.61,37.0,11.0,MN,1686412369.0,9.08
123,lompoc,34.6391,-120.4579,16.55,80.0,100.0,US,1686412369.0,1.3
124,langepas,61.2544,75.2124,13.65,50.0,40.0,RU,1686412369.0,12.6
125,constantia,44.1833,28.65,21.5,80.0,100.0,RO,1686412369.0,1.18
126,uturoa,-16.7333,-151.4333,26.35,68.0,100.0,PF,1686412369.0,2.72
127,lingig,8.0389,126.4125,25.88,88.0,100.0,PH,1686412369.0,6.17
128,nagqu,31.5,92.0,3.42,90.0,94.0,CN,1686412369.0,5.98
129,kavaratti,10.5669,72.642,29.7,77.0,94.0,IN,1686412369.0,0.0
130,berezovyy,51.6667,135.7,15.97,83.0,60.0,RU,1686412370.0,5.27
131,hobyo,5.3505,48.5268,26.92,82.0,65.0,SO,1686412370.0,0.71
132,hermanus,-34.4187,19.2345,13.78,77.0,60.0,ZA,1686412370.0,3.09
133,buka,40.8108,69.1986,29.63,30.0,3.0,UZ,1686412370.0,0.5
134,kapuskasing,49.4169,-82.4331,9.05,76.0,100.0,CA,1686412370.0,1.34
135,olonkinbyen,70.9221,-8.7187,1.95,99.0,100.0,SJ,1686412370.0,4.67
136,kununurra,-15.7667,128.7333,19.99,83.0,48.0,AU,1686412370.0,0.58
137,el calafate,-50.3408,-72.2768,1.7,71.0,2.0,AR,1686412370.0,6.04
138,hotan,37.0997,79.9269,28.49,14.0,47.0,CN,1686412371.0,3.86
139,manicore,-5.8092,-61.3003,24.97,94.0,75.0,BR,1686412371.0,1.14
140,chiras,35.4167,65.9823,15.0,52.0,78.0,AF,1686412371.0,3.1
141,sao vicente,-23.9631,-46.3919,31.98,31.0,0.0,BR,1686412371.0,3.6
142,novodvinsk,64.4165,40.8122,7.44,61.0,91.0,RU,1686412371.0,10.59
143,galeana,24.8333,-100.0667,25.19,52.0,13.0,MX,1686412371.0,0.89
144,enewetak,11.3474,162.3373,28.02,79.0,99.0,MH,1686412371.0,1.54
145,makarska,43.2969,17.0178,21.33,81.0,99.0,HR,1686412372.0,2.02
146,whangarei,-35.7317,174.3239,7.34,96.0,15.0,NZ,1686412372.0,3.46
147,charters towers,-20.1,146.2667,15.18,89.0,1.0,AU,1686412278.0,2.81
148,pisco,-13.7,-76.2167,21.03,73.0,100.0,PE,1686412372.0,6.16
150,port mathurin,-19.6833,63.4167,24.73,74.0,3.0,MU,1686412377.0,3.01
151,homer,59.6425,-151.5483,8.91,83.0,40.0,US,1686412377.0,4.63
152,longyearbyen,78.2186,15.6401,3.91,87.0,75.0,SJ,1686412377.0,6.15
153,saldanha,-33.0117,17.9442,14.6,77.0,20.0,ZA,1686412378.0,3.6
154,mulayjah,27.271,48.4242,38.12,12.0,0.0,SA,1686412378.0,6.17
155,port alfred,-33.5906,26.891,14.54,76.0,1.0,ZA,1686412378.0,1.74
156,minas de marcona,-15.2119,-75.1103,16.83,64.0,38.0,PE,1686412378.0,5.13
157,i-n-salah,27.1935,2.4607,43.73,5.0,0.0,DZ,1686412378.0,2.97
158,revda,56.801,59.9303,13.52,93.0,63.0,RU,1686412378.0,2.55
159,maceio,-9.6658,-35.7353,28.69,61.0,40.0,BR,1686412192.0,4.92
160,pandan,14.0453,124.1694,28.14,77.0,87.0,PH,1686412378.0,0.0
161,smithers,54.7804,-127.1743,14.18,58.0,75.0,CA,1686412379.0,3.93
162,puerto baquerizo moreno,-0.9,-89.6,27.55,83.0,40.0,EC,1686412347.0,1.74
163,qaqortoq,60.7167,-46.0333,6.19,65.0,92.0,GL,1686412379.0,4.04
164,harper,4.375,-7.7169,25.94,86.0,100.0,LR,1686412379.0,0.92
165,aykhal,66.0,111.5,11.6,99.0,100.0,RU,1686412379.0,3.11
166,rakvere,59.3464,26.3558,13.68,38.0,0.0,EE,1686412379.0,2.07
167,yarmouth,41.7057,-70.2286,19.08,83.0,40.0,US,1686412379.0,2.18
168,anadyr,64.75,177.4833,3.28,74.0,0.0,RU,1686412194.0,2.06
169,rikaze,29.25,88.8833,16.26,33.0,1.0,CN,1686412379.0,2.64
170,yuzhno-kurilsk,44.0306,145.8556,8.83,98.0,97.0,RU,1686412380.0,3.69
171,lyepyel',54.8814,28.6932,17.49,43.0,13.0,BY,1686412380.0,1.34
172,salahonda,2.1019,-78.7217,27.07,77.0,62.0,CO,1686412380.0,5.67
174,swakopmund,-22.6833,14.5333,18.47,78.0,17.0,NA,1686412282.0,4.12
175,kone,-21.0595,164.8658,18.12,85.0,14.0,NC,1686412380.0,2.57
176,port augusta,-32.5,137.7667,10.68,66.0,0.0,AU,1686412380.0,5.14
177,georgetown,5.4112,100.3354,28.96,84.0,20.0,MY,1686412350.0,4.12
178,anna regina,7.2644,-58.5077,27.68,82.0,86.0,GY,1686412381.0,2.27
179,kourou,5.1552,-52.6478,29.03,65.0,39.0,GF,1686412354.0,6.39
180,vernon,50.2581,-119.2691,21.27,77.0,100.0,CA,1686412326.0,2.45
181,vorgashor,67.5833,63.95,9.45,76.0,100.0,RU,1686412381.0,7.53
182,cabo san lucas,22.8909,-109.9124,32.56,52.0,5.0,MX,1686412294.0,6.83
183,walvis bay,-22.9575,14.5053,18.53,59.0,0.0,NA,1686412381.0,2.95
